Working for hours in a dim room can cause your {{c1::pupil::göz bebeği}} to dilate.|pupil|göz bebeği|Loş bir odada saatlerce çalışmak göz bebeğinizin büyümesine neden olabilir.
Data-driven decisions help {{c1::drive::artırmak}} user engagement in modern software products.|drive|yönlendirmek, teşvik etmek, artırmak|Veriye dayalı kararlar, modern yazılım ürünlerinde kullanıcı etkileşimini artırmaya yardımcı olur.
His personal {{c1::drive::motivasyon}} to learn new frameworks made him a valuable asset to the remote team.|drive|motivasyon, hırs, istek|Yeni teknolojiler öğrenme konusundaki kişisel motivasyonu, onu uzaktan çalışan ekip için değerli bir üye yaptı.
Organizing virtual team building events brings a lot of {{c1::fun::eğlence}} to our weekly routine.|fun|eğlence, keyif|Sanal ekip kaynaşma etkinlikleri düzenlemek haftalık rutinimize bolca eğlence katıyor.
Solving complex algorithm problems together can be a {{c1::fun::eğlenceli}} challenge for developers.|fun|eğlenceli, keyifli|Karmaşık algoritma problemlerini birlikte çözmek, geliştiriciler için eğlenceli bir zorluk olabilir.
I will {{c1::write back to::cevap yazmak}} the client as soon as I finish reviewing the pull request.|write back to someone|birine cevap yazmak, mesajla geri dönmek|Pull request'i incelemeyi bitirir bitirmez müşteriye cevap yazacağım.
We need to purchase an extra user {{c1::seat::lisans hakkı}} on Figma for our new UI designer.|seat|lisans hakkı, kullanıcı lisansı|Yeni UI tasarımcımız için Figma'da ekstra bir kullanıcı lisans hakkı satın almamız gerekiyor.
The manager will {{c1::seat::oturtmak}} the new interns next to the senior developers.|seat someone|birini oturtmak, yerleştirmek|Müdür, yeni stajyerleri kıdemli yazılımcıların yanına oturtacak.
You should {{c1::visit::ziyaret etmek}} our internal wiki to read the onboarding guidelines.|visit|ziyaret etmek, girmek|Oryantasyon yönergelerini okumak için dahili wiki sayfamızı ziyaret etmelisiniz.
During his {{c1::visit::ziyaret}} to the main office, the product manager presented the new project roadmap.|visit|ziyaret|Ürün müdürü, ana ofise yaptığı ziyaret sırasında yeni proje yol haritasını sundu.
Working remotely is very {{c1::convenient::pratik, uygun}} because I can manage my own daily schedule.|convenient|uygun, pratik, elverişli|Kendi günlük programımı yönetebildiğim için uzaktan çalışmak çok pratik.
Freelancing gives software developers more {{c1::independence::bağımsızlık}} in choosing their project stack.|independence|bağımsızlık|Serbest çalışmak, yazılım geliştiricilerine proje teknolojilerini seçmede daha fazla bağımsızlık sağlar.
Refactoring the legacy code will lead to {{c1::less::daha az}} technical debt in the long run.|less|daha az|Eski kodu yeniden düzenlemek, uzun vadede daha az teknik borca yol açacaktır.
You should never store {{c1::sensitive::hassas}} API keys in public code repositories.|sensitive|hassas, gizli|Halka açık kod depolarında asla hassas API anahtarlarını saklamamalısınız.
The DevOps team will {{c1::perform::gerçekleştirmek}} scheduled server maintenance tonight.|perform|gerçekleştirmek, yerine getirmek|DevOps ekibi bu gece planlanmış sunucu bakımını gerçekleştirecek.
Working from home reduces carbon emissions and has a positive {{c1::environmental::çevresel}} impact.|environmental|çevresel, çevre ile ilgili|Evden çalışmak karbon emisyonlarını azaltır ve olumlu bir çevresel etkiye sahiptir.
She {{c1::neatly::düzenli bir şekilde}} organized the codebase to make it easier for new developers to read.|neatly|düzenli bir şekilde, özenle|Yeni geliştiricilerin okumasını kolaylaştırmak için kod tabanını düzenli bir şekilde organize etti.
Our company provided extra monitor setups for all remote {{c1::staff::personel}}.|staff|personel, çalışanlar|Şirketimiz, tüm uzaktan çalışan personel için ekstra monitör kurulumları sağladı.
We need to {{c1::staff::kadro kurmak}} the new cybersecurity project with experienced engineers.|staff|personel sağlamak, kadro kurmak|Yeni siber güvenlik projesini deneyimli mühendislerle kadrolandırmamız gerekiyor.
One week was not {{c1::sufficient::yeterli}} to complete the entire security audit of the application.|sufficient|yeterli, kafi|Uygulamanın tüm güvenlik denetimini tamamlamak için bir hafta yeterli değildi.
